City,Cloudiness,Country,Humidity,Lat,Lng,MaxTemp,WindSpeed
ambanja,72,MG,83,-13.68,48.45,76.57,10.56
diffa,46,NE,62,13.32,12.61,81.15,9.95
saint george,1,US,100,38.54,-90.31,75.2,10.07
kodiak,1,US,83,39.95,-94.76,73.4,10.29
barrow,1,US,82,39.51,-90.4,72.0,5.82
manoel urbano,8,BR,57,-8.84,-69.26,75.64,0.83
darhan,6,MN,70,49.49,105.92,65.58,3.22
vaini,90,TO,100,-21.2,-175.2,71.6,10.29
rikitea,35,PF,69,-23.12,-134.97,71.64,21.12
tasiilaq,100,GL,65,65.61,-37.64,41.0,2.24
beringovskiy,38,RU,45,63.05,179.32,60.77,4.36
phuket,40,TH,74,7.89,98.4,84.2,5.82
mahenge,69,TZ,84,-8.68,36.72,67.57,4.07
sitka,58,US,86,37.17,-99.65,70.0,23.0
port elizabeth,0,ZA,93,-33.92,25.57,55.4,6.93
busselton,28,AU,45,-33.64,115.35,57.99,8.3
zemio,4,CF,98,5.02,25.13,66.04,0.81
gueret,0,FR,40,46.17,1.87,69.8,6.93
thompson,90,CA,82,55.74,-97.86,62.6,3.36
kapaa,20,US,66,22.08,-159.32,87.8,12.75
faanui,0,PF,69,-16.48,-151.75,78.66,9.82
saint-ambroise,75,CA,82,48.56,-71.32,61.0,10.29
hasaki,75,JP,70,35.73,140.83,86.0,5.82
klaksvik,100,FO,100,62.23,-6.59,53.6,17.22
ushuaia,75,AR,80,-54.81,-68.31,41.0,4.7
punta arenas,75,CL,93,-53.16,-70.91,41.0,10.29
salto,76,UY,65,-31.39,-57.96,51.01,4.0
shiliguri,75,IN,88,26.7,88.43,78.8,3.36
vostok,100,RU,85,46.45,135.83,55.32,1.57
provideniya,63,RU,53,64.42,-173.23,55.53,3.91
namibe,32,AO,88,-15.19,12.15,66.49,6.04
mount isa,0,AU,13,-20.73,139.49,82.4,5.82
butaritari,87,KI,69,3.07,172.79,84.94,8.41
ribeira grande,0,PT,84,38.52,-28.7,69.25,16.98
port alfred,0,ZA,94,-33.59,26.89,57.0,5.01
avarua,0,CK,69,-21.21,-159.78,77.0,16.11
